Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,,-,,b'United States',,,,,,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,12,0,73,15.5,73,856,488,1,11.9,856,0,488,0.296,79.13,60.94,0.12,1016,2,316,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,12,30,186,15.7,72,856,487,7,11.9,385,0,373,0.297,78.13,61,0.12,1016,2,313,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,13,0,135,15.9,72,848,471,7,12.1,579,7,408,0.297,78.09,61.87,0.12,1016,2,310,2.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,13,30,138,16,70,833,441,7,12.1,526,7,373,0.299,77.52,63.51,0.12,1015,2,309,2.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,14,0,111,16.1,66,811,398,4,12.1,0,0,111,0.3,77.35,65.86,0.12,1015,2,308,2.8,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,14,30,45,15.8,62,776,342,4,12.1,0,0,45,0.301,78.84,68.86,0.12,1015,2,306,2.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,15,0,121,15.5,56,731,278,8,12.4,69,0,142,0.301,81.7,72.4,0.12,1015,1.9,304,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,15,30,82,15.5,49,656,203,4,12.4,0,7,82,0.301,81.7,76.42,0.12,1015,1.9,304,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,16,0,50,13.5,39,546,126,4,12.2,0,7,50,0.3,92.01,80.83,0.12,1015,1.8,295,2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,16,30,19,12.6,25,354,52,8,12.2,0,7,19,0.3,97.66,85.52,0.12,1016,1.8,293,2.2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,17,0,0,11.8,0,0,0,7,11.8,0,0,0,0.299,100,90.15,0.12,1016,1.7,292,2.4,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,17,30,0,11.4,0,0,0,7,11.4,0,0,0,0.299,100,96.03,0.12,1016,1.7,295,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,18,0,0,11,0,0,0,3,11,0,0,0,0.299,100,101.5,0.12,1016,1.6,297,2.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,18,30,0,10.9,0,0,0,4,10.9,0,0,0,0.299,100,107.12,0.12,1016,1.6,301,2.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,19,0,0,10.7,0,0,0,8,10.7,0,0,0,0.298,100,112.85,0.12,1016,1.6,304,2.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,19,30,0,10.6,0,0,0,4,10.6,0,0,0,0.298,100,118.68,0.12,1016,1.6,305,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,20,0,0,10.4,0,0,0,7,10.4,0,0,0,0.298,100,124.56,0.12,1016,1.6,305,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,20,30,0,10.3,0,0,0,4,10.3,0,0,0,0.299,100,130.47,0.12,1016,1.7,305,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,21,0,0,10.2,0,0,0,4,10.2,0,0,0,0.299,100,136.38,0.12,1016,1.7,304,2.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,21,30,0,10.1,0,0,0,7,10.1,0,0,0,0.298,100,142.22,0.12,1016,1.8,303,2.5,,,,,,,,,,,,,,,,,,,,,,,
